Date,Order Time,Order ID,Order Status,Customer ID,Customer Gender,Customer Age Group,City,Product Category,Product Name,Franchise/Theme,Size,Color,Quantity Ordered,Order Value (INR ?),Payment Method,Discount Applied (%),Coupon Used,Coupon Code,Delivery Partner,Delivery Time (Days),Return Request,Return Reason,Customer Rating (1-5),Review Sentiment,Inventory Status,Device Used,Traffic Source,New vs Returning Customer,Estimated Profit Margin (%)
26-10-2024,19:07:44,TSSPC8KHO7,Delivered,TSC6658353,Female,25-34,Jaipur,Joggers,Sunday Mood Joggers,Minimal Collection,XL,Navy,1,850,Debit Card,15,Yes,DIWALI30,XpressBees,7,Yes,Quality Not as Expected,3,Neutral,In Stock,iPhone App,Instagram,New,34.8
13-10-2024,13:48:15,TSSCJ4L7WDG,In Transit,TSC5238259,Male,19-24,Pune,Oversized T-Shirts,Aesthetic Coordinates Oversized Tee,Minimal Collection,L,White,1,540,Credit Card,25,Yes,ANIME20,Shadowfax,2,No,,,,Low Stock,Website,Influencer Marketing,New,20.1
28-10-2024,21:58:01,TSSNPLJVUQ1,Delivered,TSC2542200,Male,25-34,Delhi,T-Shirts,Marauders Map Tee,Harry Potter,XL,Olive,1,430,UPI,10,No,,Shadowfax,3,No,,5,Positive,Low Stock,Android App,Influencer Marketing,Returning,28.9
22-10-2024,20:12:30,TSSQV41H665,In Transit,TSC6785451,Female,35-44,Other Tier-2/Tier-3 Cities,Joggers,One Piece Map Adventure Joggers,One Piece,M,Olive,1,750,Credit Card,0,No,,Blue Dart,6,No,,,,In Stock,Android App,Instagram,Returning,31.9
04-10-2024,22:23:21,TSSWEPM2U8,In Transit,TSC9875310,Male,25-34,Kolkata,Oversized T-Shirts,Originals Box Fit Drop,Originals,S,Grey,1,650,UPI,5,No,,Shadowfax,4,No,,,,In Stock,Website,Influencer Marketing,New,26.5
31-10-2024,16:17:23,TSS9AAV82UEX,Cancelled,TSC1190365,Male,35-44,Other Tier-2/Tier-3 Cities,T-Shirts,Essential Crew Neck Tee,Solid Basics,M,Navy,1,370,COD,15,Yes,SAVE20,Delhivery,0,No,,,,In Stock,iPhone App,Instagram,Returning,31.1
25-10-2024,20:44:07,TSSYY3AEE4,Delivered,TSC0471517,Other,19-24,Mumbai,Shorts,Weekend Shorts,Solid Basics,XXL,Olive,1,1000,Credit Card,0,No,,Blue Dart,3,No,,1,Negative,In Stock,Android App,Google Ads,Returning,41.3
26-10-2024,12:01:49,TSSZCKLZTPMV,Cancelled,TSC0728408,Male,25-34,Mumbai,Accessories,Streetwear Crossbody Bag,Originals,L,Yellow,1,280,UPI,20,Yes,ANIME20,XpressBees,0,No,,,,In Stock,Android App,Influencer Marketing,Returning,42.9
05-10-2024,19:03:51,TSSWP7J56V1,Refunded,TSC1657943,Male,25-34,Chandigarh,T-Shirts,Marauders Map Tee,Harry Potter,XL,White,1,460,Wallet,25,No,,XpressBees,0,Yes,Size Issue,,,In Stock,Android App,Organic Search,Returning,35.3
13-10-2024,16:11:53,TSSV2NQ51EYO,Delivered,TSC8937809,Male,19-24,Jaipur,Shorts,Weekend Shorts,Solid Basics,XL,Maroon,1,400,Net Banking,30,Yes,MARVEL15,Delhivery,8,No,,4,Positive,In Stock,Android App,Email Campaign,Returning,20.8
